slide_id,tile_id,comparison_label,method_a,method_b,abs_err_a,abs_err_b,delta_abs_err,hass_level,density_bin,gt_count,p_value_pairwise,holm_adjusted_p
internal,0,segdecon_vs_spotiphy,segdecon,spotiphy,0.0,88.0,88.0,,Q4,46,0.00390625,0.01171875
internal,0,segdecon_vs_stardist,segdecon,stardist,0.0,151.0,151.0,,Q4,46,0.00390625,0.01171875
internal,0,spotiphy_vs_stardist,spotiphy,stardist,88.0,151.0,63.0,,Q4,46,0.65234375,0.65234375
internal,1,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,47.0,43.0,,Q4,43,0.00390625,0.01171875
internal,1,segdecon_vs_stardist,segdecon,stardist,4.0,137.0,133.0,,Q4,43,0.00390625,0.01171875
internal,1,spotiphy_vs_stardist,spotiphy,stardist,47.0,137.0,90.0,,Q4,43,0.65234375,0.65234375
internal,2,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,99.0,95.0,,Q4,48,0.00390625,0.01171875
internal,2,segdecon_vs_stardist,segdecon,stardist,4.0,212.0,208.0,,Q4,48,0.00390625,0.01171875
internal,2,spotiphy_vs_stardist,spotiphy,stardist,99.0,212.0,113.0,,Q4,48,0.65234375,0.65234375
internal,3,segdecon_vs_spotiphy,segdecon,spotiphy,15.0,241.0,226.0,,Q3,38,0.0078125,0.0234375
internal,3,segdecon_vs_stardist,segdecon,stardist,15.0,267.0,252.0,,Q3,38,0.0078125,0.0234375
internal,3,spotiphy_vs_stardist,spotiphy,stardist,241.0,267.0,26.0,,Q3,38,0.25,0.25
internal,4,segdecon_vs_spotiphy,segdecon,spotiphy,7.0,269.0,262.0,,Q1,30,0.00390625,0.01171875
internal,4,segdecon_vs_stardist,segdecon,stardist,7.0,280.0,273.0,,Q1,30,0.00390625,0.01171875
internal,4,spotiphy_vs_stardist,spotiphy,stardist,269.0,280.0,11.0,,Q1,30,0.00390625,0.01171875
internal,5,segdecon_vs_spotiphy,segdecon,spotiphy,7.0,119.0,112.0,,Q1,19,0.00390625,0.01171875
internal,5,segdecon_vs_stardist,segdecon,stardist,7.0,166.0,159.0,,Q1,19,0.00390625,0.01171875
internal,5,spotiphy_vs_stardist,spotiphy,stardist,119.0,166.0,47.0,,Q1,19,0.00390625,0.01171875
internal,6,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,94.0,90.0,,Q1,31,0.00390625,0.01171875
internal,6,segdecon_vs_stardist,segdecon,stardist,4.0,172.0,168.0,,Q1,31,0.00390625,0.01171875
internal,6,spotiphy_vs_stardist,spotiphy,stardist,94.0,172.0,78.0,,Q1,31,0.00390625,0.01171875
internal,7,segdecon_vs_spotiphy,segdecon,spotiphy,5.0,59.0,54.0,,Q2,34,0.001953125,0.005859375
internal,7,segdecon_vs_stardist,segdecon,stardist,5.0,134.0,129.0,,Q2,34,0.001953125,0.005859375
internal,7,spotiphy_vs_stardist,spotiphy,stardist,59.0,134.0,75.0,,Q2,34,0.001953125,0.005859375
internal,8,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,113.0,109.0,,Q1,30,0.00390625,0.01171875
internal,8,segdecon_vs_stardist,segdecon,stardist,4.0,220.0,216.0,,Q1,30,0.00390625,0.01171875
internal,8,spotiphy_vs_stardist,spotiphy,stardist,113.0,220.0,107.0,,Q1,30,0.00390625,0.01171875
internal,9,segdecon_vs_spotiphy,segdecon,spotiphy,4.0,155.0,151.0,,Q4,45,0.00390625,0.01171875
internal,9,segdecon_vs_stardist,segdecon,stardist,4.0,246.0,242.0,,Q4,45,0.00390625,0.01171875
internal,9,spotiphy_vs_stardist,spotiphy,stardist,155.0,246.0,91.0,,Q4,45,0.65234375,0.65234375
internal,10,segdecon_vs_spotiphy,segdecon,spotiphy,10.0,315.0,305.0,,Q4,41,0.00390625,0.01171875
internal,10,segdecon_vs_stardist,segdecon,stardist,10.0,164.0,154.0,,Q4,41,0.00390625,0.01171875
internal,10,spotiphy_vs_stardist,spotiphy,stardist,315.0,164.0,-151.0,,Q4,41,0.65234375,0.65234375
internal,11,segdecon_vs_spotiphy,segdecon,spotiphy,13.0,256.0,243.0,,Q4,43,0.00390625,0.01171875
internal,11,segdecon_vs_stardist,segdecon,stardist,13.0,215.0,202.0,,Q4,43,0.00390625,0.01171875
internal,11,spotiphy_vs_stardist,spotiphy,stardist,256.0,215.0,-41.0,,Q4,43,0.65234375,0.65234375
internal,12,segdecon_vs_spotiphy,segdecon,spotiphy,2.0,53.0,51.0,,Q2,32,0.001953125,0.005859375
internal,12,segdecon_vs_stardist,segdecon,stardist,2.0,123.0,121.0,,Q2,32,0.001953125,0.005859375
internal,12,spotiphy_vs_stardist,spotiphy,stardist,53.0,123.0,70.0,,Q2,32,0.001953125,0.005859375
internal,13,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,21.0,18.0,,Q3,39,0.0078125,0.0234375
internal,13,segdecon_vs_stardist,segdecon,stardist,3.0,109.0,106.0,,Q3,39,0.0078125,0.0234375
internal,13,spotiphy_vs_stardist,spotiphy,stardist,21.0,109.0,88.0,,Q3,39,0.25,0.25
internal,14,segdecon_vs_spotiphy,segdecon,spotiphy,7.0,60.0,53.0,,Q3,37,0.0078125,0.0234375
internal,14,segdecon_vs_stardist,segdecon,stardist,7.0,187.0,180.0,,Q3,37,0.0078125,0.0234375
internal,14,spotiphy_vs_stardist,spotiphy,stardist,60.0,187.0,127.0,,Q3,37,0.25,0.25
internal,15,segdecon_vs_spotiphy,segdecon,spotiphy,1.0,92.0,91.0,,Q2,32,0.001953125,0.005859375
internal,15,segdecon_vs_stardist,segdecon,stardist,1.0,219.0,218.0,,Q2,32,0.001953125,0.005859375
internal,15,spotiphy_vs_stardist,spotiphy,stardist,92.0,219.0,127.0,,Q2,32,0.001953125,0.005859375
internal,16,segdecon_vs_spotiphy,segdecon,spotiphy,7.0,232.0,225.0,,Q2,32,0.001953125,0.005859375
internal,16,segdecon_vs_stardist,segdecon,stardist,7.0,321.0,314.0,,Q2,32,0.001953125,0.005859375
internal,16,spotiphy_vs_stardist,spotiphy,stardist,232.0,321.0,89.0,,Q2,32,0.001953125,0.005859375
internal,17,segdecon_vs_spotiphy,segdecon,spotiphy,28.0,259.0,231.0,,Q4,51,0.00390625,0.01171875
internal,17,segdecon_vs_stardist,segdecon,stardist,28.0,167.0,139.0,,Q4,51,0.00390625,0.01171875
internal,17,spotiphy_vs_stardist,spotiphy,stardist,259.0,167.0,-92.0,,Q4,51,0.65234375,0.65234375
internal,18,segdecon_vs_spotiphy,segdecon,spotiphy,6.0,20.0,14.0,,Q2,36,0.001953125,0.005859375
internal,18,segdecon_vs_stardist,segdecon,stardist,6.0,89.0,83.0,,Q2,36,0.001953125,0.005859375
internal,18,spotiphy_vs_stardist,spotiphy,stardist,20.0,89.0,69.0,,Q2,36,0.001953125,0.005859375
internal,19,segdecon_vs_spotiphy,segdecon,spotiphy,2.0,29.0,27.0,,Q3,37,0.0078125,0.0234375
internal,19,segdecon_vs_stardist,segdecon,stardist,2.0,122.0,120.0,,Q3,37,0.0078125,0.0234375
internal,19,spotiphy_vs_stardist,spotiphy,stardist,29.0,122.0,93.0,,Q3,37,0.25,0.25
internal,20,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,167.0,164.0,,Q1,20,0.00390625,0.01171875
internal,20,segdecon_vs_stardist,segdecon,stardist,3.0,296.0,293.0,,Q1,20,0.00390625,0.01171875
internal,20,spotiphy_vs_stardist,spotiphy,stardist,167.0,296.0,129.0,,Q1,20,0.00390625,0.01171875
internal,21,segdecon_vs_spotiphy,segdecon,spotiphy,3.0,121.0,118.0,,Q2,33,0.001953125,0.005859375
