slide_id,density_bin,method,median_abs_err,IQR_abs_err,n_tiles,wilcoxon_p,holm_adjusted_p
external,Q1,segdecon,8.0,4.0,9,,
external,Q1,spotiphy,181.0,66.0,9,0.003906,0.011719
external,Q1,stardist,385.0,180.0,9,0.011719,0.023437
external,Q2,segdecon,10.0,8.0,9,,
external,Q2,spotiphy,65.0,40.0,9,0.003906,0.011719
external,Q2,stardist,171.0,109.0,9,0.003906,0.011719
external,Q3,segdecon,4.0,7.0,9,,
external,Q3,spotiphy,31.0,29.0,9,0.003906,0.011719
external,Q3,stardist,78.0,201.0,9,0.003906,0.011719
external,Q4,segdecon,20.0,17.0,9,,
external,Q4,spotiphy,92.0,104.0,9,0.019531,0.058594
external,Q4,stardist,33.0,203.0,9,0.092892,0.185784
internal,Q1,segdecon,5.0,3.0,9,,
internal,Q1,spotiphy,167.0,154.0,9,0.003906,0.011719
internal,Q1,stardist,280.0,196.0,9,0.003906,0.011719
internal,Q2,segdecon,4.0,5.5,10,,
internal,Q2,spotiphy,135.5,151.0,10,0.001953,0.005859
internal,Q2,stardist,296.5,174.5,10,0.001953,0.005859
internal,Q3,segdecon,11.0,9.0,8,,
internal,Q3,spotiphy,193.5,210.5,8,0.007812,0.023438
internal,Q3,stardist,195.0,150.0,8,0.007812,0.023438
internal,Q4,segdecon,10.0,9.0,9,,
internal,Q4,spotiphy,155.0,160.0,9,0.003906,0.011719
internal,Q4,stardist,212.0,82.0,9,0.003906,0.011719
