cell_type,method,r,R2,n_spots,aggregation_note
Ext_ClauPyr,SegDecon,0.72216459949695,0.5215217087665902,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA1,SegDecon,0.9211512531097902,0.8485196311057367,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA2,SegDecon,0.6233233614016265,0.38853201286902267,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA3,SegDecon,0.9353178795237956,0.8748195357568895,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_DG1,SegDecon,0.9567084204808881,0.9152910018190358,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_L23,SegDecon,0.7230423489650375,0.5227902383968791,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_L25,SegDecon,0.8270546595893303,0.684019409948423,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Thal_1,SegDecon,0.8103987227334574,0.6567460898080191,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Unk_3,SegDecon,0.9292298019247742,0.8634680247851552,2613,Top-10 types; per-type across spots; summary=median/mean
Inh_Meis2_2,SegDecon,0.6197798901999797,0.38412711229629887,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_ClauPyr,Cell2location,0.6605887946064162,0.4363775555595579,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA1,Cell2location,0.9168282388958778,0.8405740196369168,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA2,Cell2location,0.6863691040918405,0.47110254705183574,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA3,Cell2location,0.8800382572711428,0.7744673342608301,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_DG1,Cell2location,0.9022004265263807,0.8139656096243831,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_L23,Cell2location,0.6815511726377171,0.4645120009238473,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_L25,Cell2location,0.7547912834426983,0.5697098815610757,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Thal_1,Cell2location,0.7785646144895848,0.6061628589353159,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Unk_3,Cell2location,0.9120037471363692,0.8317508347907785,2613,Top-10 types; per-type across spots; summary=median/mean
Inh_Meis2_2,Cell2location,0.6119909982777973,0.37453298197305496,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_ClauPyr,Spotiphy,0.72216459949695,0.5215217087665902,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA1,Spotiphy,0.9211512531097902,0.8485196311057367,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA2,Spotiphy,0.6233233614016265,0.38853201286902267,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_CA3,Spotiphy,0.9353178795237956,0.8748195357568895,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Hpc_DG1,Spotiphy,0.9567084204808881,0.9152910018190358,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_L23,Spotiphy,0.7230423489650375,0.5227902383968791,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_L25,Spotiphy,0.8270546595893303,0.684019409948423,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Thal_1,Spotiphy,0.8103987227334574,0.6567460898080191,2613,Top-10 types; per-type across spots; summary=median/mean
Ext_Unk_3,Spotiphy,0.9292298019247742,0.8634680247851552,2613,Top-10 types; per-type across spots; summary=median/mean
Inh_Meis2_2,Spotiphy,0.6197798901999797,0.38412711229629887,2613,Top-10 types; per-type across spots; summary=median/mean
