tile_id,filename,count_gt,pred_count,err,abs_err,cfg_id,slide
0,tile_r00_c00_id00.png,46,46,0,0,PP01_base,img0
1,tile_r00_c01_id01.png,43,39,-4,4,PP01_base,img0
2,tile_r00_c02_id02.png,48,44,-4,4,PP01_base,img0
3,tile_r00_c03_id03.png,38,53,15,15,PP01_base,img0
4,tile_r00_c04_id04.png,30,37,7,7,PP01_base,img0
5,tile_r00_c05_id05.png,19,26,7,7,PP01_base,img0
6,tile_r01_c00_id06.png,31,27,-4,4,PP01_base,img0
7,tile_r01_c01_id07.png,34,29,-5,5,PP01_base,img0
8,tile_r01_c02_id08.png,30,26,-4,4,PP01_base,img0
9,tile_r01_c03_id09.png,45,49,4,4,PP01_base,img0
10,tile_r01_c04_id10.png,41,51,10,10,PP01_base,img0
11,tile_r01_c05_id11.png,43,56,13,13,PP01_base,img0
12,tile_r02_c00_id12.png,32,34,2,2,PP01_base,img0
13,tile_r02_c01_id13.png,39,36,-3,3,PP01_base,img0
14,tile_r02_c02_id14.png,37,30,-7,7,PP01_base,img0
15,tile_r02_c03_id15.png,32,33,1,1,PP01_base,img0
16,tile_r02_c04_id16.png,32,39,7,7,PP01_base,img0
17,tile_r02_c05_id17.png,51,79,28,28,PP01_base,img0
18,tile_r03_c00_id18.png,36,42,6,6,PP01_base,img0
19,tile_r03_c01_id19.png,37,39,2,2,PP01_base,img0
20,tile_r03_c02_id20.png,20,23,3,3,PP01_base,img0
21,tile_r03_c03_id21.png,33,36,3,3,PP01_base,img0
22,tile_r03_c04_id22.png,37,49,12,12,PP01_base,img0
23,tile_r03_c05_id23.png,38,53,15,15,PP01_base,img0
24,tile_r04_c00_id24.png,25,30,5,5,PP01_base,img0
25,tile_r04_c01_id25.png,36,37,1,1,PP01_base,img0
26,tile_r04_c02_id26.png,34,34,0,0,PP01_base,img0
27,tile_r04_c03_id27.png,41,52,11,11,PP01_base,img0
28,tile_r04_c04_id28.png,26,29,3,3,PP01_base,img0
29,tile_r04_c05_id29.png,40,66,26,26,PP01_base,img0
30,tile_r05_c00_id30.png,29,43,14,14,PP01_base,img0
31,tile_r05_c01_id31.png,35,47,12,12,PP01_base,img0
32,tile_r05_c02_id32.png,31,43,12,12,PP01_base,img0
33,tile_r05_c03_id33.png,40,50,10,10,PP01_base,img0
34,tile_r05_c04_id34.png,33,52,19,19,PP01_base,img0
35,tile_r05_c05_id35.png,46,72,26,26,PP01_base,img0
0,tile_r00_c00_id00.png,46,43,-3,3,AB01_disable_MAD,img0
1,tile_r00_c01_id01.png,43,37,-6,6,AB01_disable_MAD,img0
2,tile_r00_c02_id02.png,48,47,-1,1,AB01_disable_MAD,img0
3,tile_r00_c03_id03.png,38,53,15,15,AB01_disable_MAD,img0
4,tile_r00_c04_id04.png,30,35,5,5,AB01_disable_MAD,img0
5,tile_r00_c05_id05.png,19,25,6,6,AB01_disable_MAD,img0
6,tile_r01_c00_id06.png,31,29,-2,2,AB01_disable_MAD,img0
7,tile_r01_c01_id07.png,34,32,-2,2,AB01_disable_MAD,img0
8,tile_r01_c02_id08.png,30,31,1,1,AB01_disable_MAD,img0
9,tile_r01_c03_id09.png,45,48,3,3,AB01_disable_MAD,img0
10,tile_r01_c04_id10.png,41,51,10,10,AB01_disable_MAD,img0
11,tile_r01_c05_id11.png,43,61,18,18,AB01_disable_MAD,img0
12,tile_r02_c00_id12.png,32,34,2,2,AB01_disable_MAD,img0
13,tile_r02_c01_id13.png,39,38,-1,1,AB01_disable_MAD,img0
14,tile_r02_c02_id14.png,37,34,-3,3,AB01_disable_MAD,img0
15,tile_r02_c03_id15.png,32,36,4,4,AB01_disable_MAD,img0
16,tile_r02_c04_id16.png,32,36,4,4,AB01_disable_MAD,img0
17,tile_r02_c05_id17.png,51,78,27,27,AB01_disable_MAD,img0
18,tile_r03_c00_id18.png,36,43,7,7,AB01_disable_MAD,img0
19,tile_r03_c01_id19.png,37,41,4,4,AB01_disable_MAD,img0
20,tile_r03_c02_id20.png,20,23,3,3,AB01_disable_MAD,img0
