tile_id,filename,count_gt,pred_count,err,abs_err,cfg_id,slide
0,tile_r00_c00_id00.png,16,15,-1,1,PP01_base,img1
1,tile_r00_c01_id01.png,203,174,-29,29,PP01_base,img1
2,tile_r00_c02_id02.png,162,117,-45,45,PP01_base,img1
3,tile_r00_c03_id03.png,241,244,3,3,PP01_base,img1
4,tile_r00_c04_id04.png,158,138,-20,20,PP01_base,img1
5,tile_r00_c05_id05.png,170,145,-25,25,PP01_base,img1
6,tile_r01_c00_id06.png,64,67,3,3,PP01_base,img1
7,tile_r01_c01_id07.png,148,162,14,14,PP01_base,img1
8,tile_r01_c02_id08.png,20,27,7,7,PP01_base,img1
9,tile_r01_c03_id09.png,20,31,11,11,PP01_base,img1
10,tile_r01_c04_id10.png,107,119,12,12,PP01_base,img1
11,tile_r01_c05_id11.png,168,170,2,2,PP01_base,img1
12,tile_r02_c00_id12.png,136,191,55,55,PP01_base,img1
13,tile_r02_c01_id13.png,24,35,11,11,PP01_base,img1
14,tile_r02_c02_id14.png,31,45,14,14,PP01_base,img1
15,tile_r02_c03_id15.png,28,36,8,8,PP01_base,img1
16,tile_r02_c04_id16.png,27,31,4,4,PP01_base,img1
17,tile_r02_c05_id17.png,24,35,11,11,PP01_base,img1
18,tile_r03_c00_id18.png,37,46,9,9,PP01_base,img1
19,tile_r03_c01_id19.png,35,38,3,3,PP01_base,img1
20,tile_r03_c02_id20.png,42,44,2,2,PP01_base,img1
21,tile_r03_c03_id21.png,34,38,4,4,PP01_base,img1
22,tile_r03_c04_id22.png,41,43,2,2,PP01_base,img1
23,tile_r03_c05_id23.png,31,52,21,21,PP01_base,img1
24,tile_r04_c00_id24.png,39,49,10,10,PP01_base,img1
25,tile_r04_c01_id25.png,30,38,8,8,PP01_base,img1
26,tile_r04_c02_id26.png,41,45,4,4,PP01_base,img1
27,tile_r04_c03_id27.png,34,44,10,10,PP01_base,img1
28,tile_r04_c04_id28.png,42,54,12,12,PP01_base,img1
29,tile_r04_c05_id29.png,34,44,10,10,PP01_base,img1
30,tile_r05_c00_id30.png,58,61,3,3,PP01_base,img1
31,tile_r05_c01_id31.png,35,36,1,1,PP01_base,img1
32,tile_r05_c02_id32.png,31,34,3,3,PP01_base,img1
33,tile_r05_c03_id33.png,29,40,11,11,PP01_base,img1
34,tile_r05_c04_id34.png,41,54,13,13,PP01_base,img1
35,tile_r05_c05_id35.png,35,46,11,11,PP01_base,img1
0,tile_r00_c00_id00.png,16,15,-1,1,AB01_disable_MAD,img1
1,tile_r00_c01_id01.png,203,174,-29,29,AB01_disable_MAD,img1
2,tile_r00_c02_id02.png,162,117,-45,45,AB01_disable_MAD,img1
3,tile_r00_c03_id03.png,241,244,3,3,AB01_disable_MAD,img1
4,tile_r00_c04_id04.png,158,138,-20,20,AB01_disable_MAD,img1
5,tile_r00_c05_id05.png,170,145,-25,25,AB01_disable_MAD,img1
6,tile_r01_c00_id06.png,64,67,3,3,AB01_disable_MAD,img1
7,tile_r01_c01_id07.png,148,162,14,14,AB01_disable_MAD,img1
8,tile_r01_c02_id08.png,20,27,7,7,AB01_disable_MAD,img1
9,tile_r01_c03_id09.png,20,31,11,11,AB01_disable_MAD,img1
10,tile_r01_c04_id10.png,107,119,12,12,AB01_disable_MAD,img1
11,tile_r01_c05_id11.png,168,170,2,2,AB01_disable_MAD,img1
12,tile_r02_c00_id12.png,136,191,55,55,AB01_disable_MAD,img1
13,tile_r02_c01_id13.png,24,35,11,11,AB01_disable_MAD,img1
14,tile_r02_c02_id14.png,31,45,14,14,AB01_disable_MAD,img1
15,tile_r02_c03_id15.png,28,36,8,8,AB01_disable_MAD,img1
16,tile_r02_c04_id16.png,27,31,4,4,AB01_disable_MAD,img1
17,tile_r02_c05_id17.png,24,35,11,11,AB01_disable_MAD,img1
18,tile_r03_c00_id18.png,37,46,9,9,AB01_disable_MAD,img1
19,tile_r03_c01_id19.png,35,38,3,3,AB01_disable_MAD,img1
20,tile_r03_c02_id20.png,42,44,2,2,AB01_disable_MAD,img1
21,tile_r03_c03_id21.png,34,38,4,4,AB01_disable_MAD,img1
22,tile_r03_c04_id22.png,41,43,2,2,AB01_disable_MAD,img1
23,tile_r03_c05_id23.png,31,52,21,21,AB01_disable_MAD,img1
24,tile_r04_c00_id24.png,39,49,10,10,AB01_disable_MAD,img1
25,tile_r04_c01_id25.png,30,38,8,8,AB01_disable_MAD,img1
26,tile_r04_c02_id26.png,41,45,4,4,AB01_disable_MAD,img1
27,tile_r04_c03_id27.png,34,44,10,10,AB01_disable_MAD,img1
28,tile_r04_c04_id28.png,42,54,12,12,AB01_disable_MAD,img1
29,tile_r04_c05_id29.png,34,44,10,10,AB01_disable_MAD,img1
30,tile_r05_c00_id30.png,58,61,3,3,AB01_disable_MAD,img1
31,tile_r05_c01_id31.png,35,36,1,1,AB01_disable_MAD,img1
32,tile_r05_c02_id32.png,31,34,3,3,AB01_disable_MAD,img1
33,tile_r05_c03_id33.png,29,40,11,11,AB01_disable_MAD,img1
34,tile_r05_c04_id34.png,41,54,13,13,AB01_disable_MAD,img1
35,tile_r05_c05_id35.png,35,46,11,11,AB01_disable_MAD,img1
0,tile_r00_c00_id00.png,16,15,-1,1,AB02_force_quantile,img1
1,tile_r00_c01_id01.png,203,158,-45,45,AB02_force_quantile,img1
2,tile_r00_c02_id02.png,162,109,-53,53,AB02_force_quantile,img1
3,tile_r00_c03_id03.png,241,234,-7,7,AB02_force_quantile,img1
4,tile_r00_c04_id04.png,158,135,-23,23,AB02_force_quantile,img1
5,tile_r00_c05_id05.png,170,138,-32,32,AB02_force_quantile,img1
6,tile_r01_c00_id06.png,64,58,-6,6,AB02_force_quantile,img1
7,tile_r01_c01_id07.png,148,151,3,3,AB02_force_quantile,img1
